;movieId;title;genres
0;0;Toy Story (1995);Adventure|Animation|Children|Comedy|Fantasy
1;1;Grumpier Old Men (1995);Comedy|Romance
2;2;Heat (1995);Action|Crime|Thriller
3;3;Seven (a.k.a. Se7en) (1995);Mystery|Thriller
4;4;Usual Suspects, The (1995);Crime|Mystery|Thriller
5;5;From Dusk Till Dawn (1996);Action|Comedy|Horror|Thriller
6;6;Bottle Rocket (1996);Adventure|Comedy|Crime|Romance
7;7;Braveheart (1995);Action|Drama|War
8;8;Rob Roy (1995);Action|Drama|Romance|War
9;9;Desperado (1995);Action|Romance|Western
10;10;Billy Madison (1995);Comedy
11;11;Clerks (1994);Comedy
12;12;Dumb & Dumber (Dumb and Dumber) (1994);Adventure|Comedy
13;13;Ed Wood (1994);Comedy|Drama
14;14;Star Wars: Episode IV - A New Hope (1977);Action|Adventure|Sci-Fi
15;15;Pulp Fiction (1994);Comedy|Crime|Drama|Thriller
16;16;Stargate (1994);Action|Adventure|Sci-Fi
17;17;Tommy Boy (1995);Comedy
18;18;Clear and Present Danger (1994);Action|Crime|Drama|Thriller
19;19;Forrest Gump (1994);Comedy|Drama|Romance|War
20;20;Jungle Book, The (1994);Adventure|Children|Romance
21;21;Mask, The (1994);Action|Comedy|Crime|Fantasy
22;22;Dazed and Confused (1993);Comedy
23;23;Fugitive, The (1993);Thriller
24;24;Jurassic Park (1993);Action|Adventure|Sci-Fi|Thriller
25;25;Mrs. Doubtfire (1993);Comedy|Drama
26;26;Schindler's List (1993);Drama|War
27;27;So I Married an Axe Murderer (1993);Comedy|Romance|Thriller
28;28;Three Musketeers, The (1993);Action|Adventure|Comedy|Romance
29;29;Tombstone (1993);Action|Drama|Western
30;30;Dances with Wolves (1990);Adventure|Drama|Western
31;31;Batman (1989);Action|Crime|Thriller
32;32;Silence of the Lambs, The (1991);Crime|Horror|Thriller
33;33;Pinocchio (1940);Animation|Children|Fantasy|Musical
34;34;Fargo (1996);Comedy|Crime|Drama|Thriller
35;35;Mission: Impossible (1996);Action|Adventure|Mystery|Thriller
36;36;James and the Giant Peach (1996);Adventure|Animation|Children|Fantasy|Musical
37;37;Space Jam (1996);Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi
38;38;Rock, The (1996);Action|Adventure|Thriller
39;39;Twister (1996);Action|Adventure|Romance|Thriller
40;40;Independence Day (a.k.a. ID4) (1996);Action|Adventure|Sci-Fi|Thriller
41;41;Wizard of Oz, The (1939);Adventure|Children|Fantasy|Musical
42;42;Citizen Kane (1941);Drama|Mystery
43;43;Sword in the Stone, The (1963);Animation|Children|Fantasy|Musical
44;44;Dumbo (1941);Animation|Children|Drama|Musical
45;45;Bedknobs and Broomsticks (1971);Adventure|Children|Musical
46;46;Alice in Wonderland (1951);Adventure|Animation|Children|Fantasy|Musical
47;47;That Thing You Do! (1996);Comedy|Drama
48;48;Ghost and the Darkness, The (1996);Action|Adventure
49;49;Swingers (1996);Comedy|Drama
50;50;Willy Wonka & the Chocolate Factory (1971);Children|Comedy|Fantasy|Musical
51;51;Monty Python's Life of Brian (1979);Comedy
52;52;Reservoir Dogs (1992);Crime|Mystery|Thriller
53;53;Platoon (1986);Drama|War
54;54;Basic Instinct (1992);Crime|Mystery|Thriller
55;55;E.T. the Extra-Terrestrial (1982);Children|Drama|Sci-Fi
56;56;Abyss, The (1989);Action|Adventure|Sci-Fi|Thriller
57;57;Monty Python and the Holy Grail (1975);Adventure|Comedy|Fantasy
58;58;Star Wars: Episode V - The Empire Strikes Back (1980);Action|Adventure|Sci-Fi
59;59;Princess Bride, The (1987);Action|Adventure|Comedy|Fantasy|Romance
60;60;Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981);Action|Adventure
61;61;Clockwork Orange, A (1971);Crime|Drama|Sci-Fi|Thriller
62;62;Apocalypse Now (1979);Action|Drama|War
63;63;Star Wars: Episode VI - Return of the Jedi (1983);Action|Adventure|Sci-Fi
64;64;Goodfellas (1990);Crime|Drama
65;65;Alien (1979);Horror|Sci-Fi
66;66;Psycho (1960);Crime|Horror
67;67;Blues Brothers, The (1980);Action|Comedy|Musical
68;68;Full Metal Jacket (1987);Drama|War
69;69;Terminator, The (1984);Action|Sci-Fi|Thriller
70;70;Duck Soup (1933);Comedy|Musical|War
71;71;Shining, The (1980);Horror
72;72;Groundhog Day (1993);Comedy|Fantasy|Romance
73;73;Back to the Future (1985);Adventure|Comedy|Sci-Fi
74;74;Highlander (1986);Action|Adventure|Fantasy
75;75;Young Frankenstein (1974);Comedy|Fantasy
76;76;Fantasia (1940);Animation|Children|Fantasy|Musical
77;77;Indiana Jones and the Last Crusade (1989);Action|Adventure
78;78;Pink Floyd: The Wall (1982);Drama|Musical
79;79;Batman Returns (1992);Action|Crime
80;80;Sneakers (1992);Action|Comedy|Crime|Drama|Sci-Fi
81;81;Last of the Mohicans, The (1992);Action|Romance|War|Western
82;82;Grosse Pointe Blank (1997);Comedy|Crime|Romance
83;83;Austin Powers: International Man of Mystery (1997);Action|Adventure|Comedy
84;84;Con Air (1997);Action|Adventure|Thriller
85;85;Face/Off (1997);Action|Crime|Drama|Thriller
86;86;Men in Black (a.k.a. MIB) (1997);Action|Comedy|Sci-Fi
87;87;Conan the Barbarian (1982);Action|Adventure|Fantasy
88;88;L.A. Confidential (1997);Crime|Film-Noir|Mystery|Thriller
89;89;Game, The (1997);Drama|Mystery|Thriller
90;90;I Know What You Did Last Summer (1997);Horror|Mystery|Thriller
91;91;Starship Troopers (1997);Action|Sci-Fi
92;92;Big Lebowski, The (1998);Comedy|Crime
93;93;Wedding Singer, The (1998);Comedy|Romance
94;94;Wild Things (1998);Crime|Drama|Mystery|Thriller
95;95;Rocky (1976);Drama
96;96;Labyrinth (1986);Adventure|Fantasy|Musical
97;97;Lethal Weapon (1987);Action|Comedy|Crime|Drama
98;98;Goonies, The (1985);Action|Adventure|Children|Comedy|Fantasy
99;99;Back to the Future Part III (1990);Adventure|Comedy|Sci-Fi|Western
100;100;Bambi (1942);Animation|Children|Drama
101;101;Saving Private Ryan (1998);Action|Drama|War
102;102;Flight of the Navigator (1986);Adventure|Children|Sci-Fi
103;103;Honey, I Shrunk the Kids (1989);Adventure|Children|Comedy|Fantasy|Sci-Fi
104;104;Negotiator, The (1998);Action|Crime|Drama|Mystery|Thriller
105;105;Jungle Book, The (1967);Animation|Children|Comedy|Musical
106;106;Rocketeer, The (1991);Action|Adventure|Sci-Fi
107;107;Sleeping Beauty (1959);Animation|Children|Musical
108;108;Tron (1982);Action|Adventure|Sci-Fi
109;109;Indiana Jones and the Temple of Doom (1984);Action|Adventure|Fantasy
110;110;Charlotte's Web (1973);Animation|Children
111;111;Secret of NIMH, The (1982);Adventure|Animation|Children|Drama
112;112;NeverEnding Story, The (1984);Adventure|Children|Fantasy
113;113;Beetlejuice (1988);Comedy|Fantasy
114;114;Willow (1988);Action|Adventure|Fantasy
115;115;Few Good Men, A (1992);Crime|Drama|Thriller
116;116;Rush Hour (1998);Action|Comedy|Crime|Thriller
117;117;Edward Scissorhands (1990);Drama|Fantasy|Romance
118;118;American History X (1998);Crime|Drama
119;119;Enemy of the State (1998);Action|Thriller
120;120;King Kong (1933);Action|Adventure|Fantasy|Horror
121;121;Rushmore (1998);Comedy|Drama
122;122;Romancing the Stone (1984);Action|Adventure|Comedy|Romance
123;123;Thin Red Line, The (1998);Action|Drama|War
124;124;Crocodile Dundee (1986);Adventure|Comedy
125;125;¡Three Amigos! (1986);Comedy|Western
126;126;Office Space (1999);Comedy|Crime
127;127;Logan's Run (1976);Action|Adventure|Sci-Fi
128;128;Planet of the Apes (1968);Action|Drama|Sci-Fi
129;129;Lock, Stock & Two Smoking Barrels (1998);Comedy|Crime|Thriller
130;130;Matrix, The (1999);Action|Sci-Fi|Thriller
131;131;Go (1999);Comedy|Crime
132;132;Dick Tracy (1990);Action|Crime
133;133;Mummy, The (1999);Action|Adventure|Comedy|Fantasy|Horror|Thriller
134;134;Star Wars: Episode I - The Phantom Menace (1999);Action|Adventure|Sci-Fi
135;135;Superman (1978);Action|Adventure|Sci-Fi
136;136;Superman II (1980);Action|Sci-Fi
137;137;Rocky Horror Picture Show, The (1975);Comedy|Horror|Musical|Sci-Fi
138;138;Run Lola Run (Lola rennt) (1998);Action|Crime
139;139;South Park: Bigger, Longer and Uncut (1999);Animation|Comedy|Musical
140;140;Ghostbusters (a.k.a. Ghost Busters) (1984);Action|Comedy|Sci-Fi
141;141;Iron Giant, The (1999);Adventure|Animation|Children|Drama|Sci-Fi
142;142;Big (1988);Comedy|Drama|Fantasy|Romance
143;143;13th Warrior, The (1999);Action|Adventure|Fantasy
144;144;American Beauty (1999);Drama|Romance
145;145;Excalibur (1981);Adventure|Fantasy
146;146;Total Recall (1990);Action|Adventure|Sci-Fi|Thriller
147;147;Dirty Dozen, The (1967);Action|Drama|War
148;148;Goldfinger (1964);Action|Adventure|Thriller
149;149;From Russia with Love (1963);Action|Adventure|Thriller
150;150;Dr. No (1962);Action|Adventure|Thriller
151;151;Fight Club (1999);Action|Crime|Drama|Thriller
152;152;RoboCop (1987);Action|Crime|Drama|Sci-Fi|Thriller
153;153;Who Framed Roger Rabbit? (1988);Adventure|Animation|Children|Comedy|Crime|Fantasy|Mystery
154;154;Live and Let Die (1973);Action|Adventure|Thriller
155;155;Thunderball (1965);Action|Adventure|Thriller
156;156;Being John Malkovich (1999);Comedy|Drama|Fantasy
157;157;Spaceballs (1987);Comedy|Sci-Fi
158;158;Robin Hood (1973);Adventure|Animation|Children|Comedy|Musical
159;159;Dogma (1999);Adventure|Comedy|Fantasy
160;160;Green Mile, The (1999);Crime|Drama
161;161;Easy Rider (1969);Adventure|Drama
162;162;Talented Mr. Ripley, The (1999);Drama|Mystery|Thriller
163;163;Sister Act (1992);Comedy|Crime
164;164;Wayne's World (1992);Comedy
165;165;Scream 3 (2000);Comedy|Horror|Mystery|Thriller
166;166;JFK (1991);Drama|Mystery|Thriller
167;167;Good Morning, Vietnam (1987);Comedy|Drama|War
168;168;Grumpy Old Men (1993);Comedy
169;169;Hook (1991);Adventure|Comedy|Fantasy
170;170;Predator (1987);Action|Sci-Fi|Thriller
171;171;Gladiator (2000);Action|Adventure|Drama
172;172;Road Trip (2000);Comedy
173;173;Blazing Saddles (1974);Comedy|Western
174;174;Mad Max (1979);Action|Adventure|Sci-Fi
175;175;Road Warrior, The (Mad Max 2) (1981);Action|Adventure|Sci-Fi|Thriller
176;176;Big Trouble in Little China (1986);Action|Adventure|Comedy|Fantasy
177;177;X-Men (2000);Action|Adventure|Sci-Fi
178;178;What About Bob? (1991);Comedy
179;179;M*A*S*H (a.k.a. MASH) (1970);Comedy|Drama|War
180;180;Shawshank Redemption, The (1994);Crime|Drama
181;181;Good Will Hunting (1997);Drama|Romance
182;182;Kill Bill: Vol. 1 (2003);Action|Crime|Thriller
183;183;Collateral (2004);Action|Crime|Drama|Thriller
184;184;Talladega Nights: The Ballad of Ricky Bobby (2006);Action|Comedy
185;185;Departed, The (2006);Crime|Drama|Thriller
186;186;Dark Knight, The (2008);Action|Crime|Drama|IMAX
187;187;Step Brothers (2008);Comedy
188;188;Inglourious Basterds (2009);Action|Drama|War
189;189;Zombieland (2009);Action|Comedy|Horror
190;190;Shutter Island (2010);Drama|Mystery|Thriller
191;191;Inception (2010);Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX
192;192;Town, The (2010);Crime|Drama|Thriller
193;193;Dark Knight Rises, The (2012);Action|Adventure|Crime|IMAX
194;194;Girl with the Dragon Tattoo, The (2011);Drama|Thriller
195;195;Django Unchained (2012);Action|Drama|Western
196;196;Wolf of Wall Street, The (2013);Comedy|Crime|Drama
197;197;Interstellar (2014);Sci-Fi|IMAX
198;198;Whiplash (2014);Drama
199;199;Ex Machina (2015);Drama|Sci-Fi|Thriller
200;200;Mad Max: Fury Road (2015);Action|Adventure|Sci-Fi|Thriller
201;201;Dangerous Minds (1995);Drama
202;202;Courage Under Fire (1996);Action|Crime|Drama|War
203;203;Wallace & Gromit: The Best of Aardman Animation (1996);Adventure|Animation|Comedy
204;204;Escape from L.A. (1996);Action|Adventure|Sci-Fi|Thriller
205;205;My Fair Lady (1964);Comedy|Drama|Musical|Romance
206;206;Doors, The (1991);Drama
207;207;Deer Hunter, The (1978);Drama|War
208;208;Patton (1970);Drama|War
209;209;Field of Dreams (1989);Children|Drama|Fantasy
210;210;Star Trek: The Motion Picture (1979);Adventure|Sci-Fi
211;211;Lady and the Tramp (1955);Animation|Children|Comedy|Romance
212;212;Thing, The (1982);Action|Horror|Sci-Fi|Thriller
213;213;You've Got Mail (1998);Comedy|Romance
214;214;Fast Times at Ridgemont High (1982);Comedy|Drama|Romance
215;215;Requiem for a Dream (2000);Drama
216;216;2012 (2009);Action|Drama|Sci-Fi|Thriller
217;217;Get Shorty (1995);Comedy|Crime|Thriller
218;218;Twelve Monkeys (a.k.a. 12 Monkeys) (1995);Mystery|Sci-Fi|Thriller
219;219;To Die For (1995);Comedy|Drama|Thriller
220;220;Mighty Aphrodite (1995);Comedy|Drama|Romance
221;221;Postman, The (Postino, Il) (1994);Comedy|Drama|Romance
222;222;Before Sunrise (1995);Drama|Romance
223;223;Heavenly Creatures (1994);Crime|Drama
224;224;Like Water for Chocolate (Como agua para chocolate) (1992);Drama|Fantasy|Romance
225;225;Muriel's Wedding (1994);Comedy
226;226;Adventures of Priscilla, Queen of the Desert, The (1994);Comedy|Drama
227;227;Bullets Over Broadway (1994);Comedy
228;228;Four Weddings and a Funeral (1994);Comedy|Romance
229;229;Maverick (1994);Adventure|Comedy|Western
230;230;In the Name of the Father (1993);Drama
231;231;Piano, The (1993);Drama|Romance
232;232;Sleepless in Seattle (1993);Comedy|Drama|Romance
233;233;Aladdin (1992);Adventure|Animation|Children|Comedy|Musical
234;234;Beauty and the Beast (1991);Animation|Children|Fantasy|Musical|Romance|IMAX
235;235;Truth About Cats & Dogs, The (1996);Comedy|Romance
236;236;Philadelphia Story, The (1940);Comedy|Drama|Romance
237;237;Singin' in the Rain (1952);Comedy|Musical|Romance
238;238;Breakfast at Tiffany's (1961);Drama|Romance
239;239;Rear Window (1954);Mystery|Thriller
240;240;North by Northwest (1959);Action|Adventure|Mystery|Romance|Thriller
241;241;Some Like It Hot (1959);Comedy|Crime
242;242;Casablanca (1942);Drama|Romance
243;243;Gone with the Wind (1939);Drama|Romance|War
244;244;Sleeper (1973);Comedy|Sci-Fi
245;245;Fish Called Wanda, A (1988);Comedy|Crime
246;246;Bonnie and Clyde (1967);Crime|Drama
247;247;Dial M for Murder (1954);Crime|Mystery|Thriller
248;248;Crying Game, The (1992);Drama|Romance|Thriller
249;249;Grifters, The (1990);Crime|Drama|Film-Noir
250;250;English Patient, The (1996);Drama|Romance|War
251;251;Strictly Ballroom (1992);Comedy|Romance
252;252;Brazil (1985);Fantasy|Sci-Fi
253;253;12 Angry Men (1957);Drama
254;254;Amadeus (1984);Drama
255;255;Bridge on the River Kwai, The (1957);Adventure|Drama|War
256;256;Stand by Me (1986);Adventure|Drama
257;257;Unforgiven (1992);Drama|Western
258;258;This Is Spinal Tap (1984);Comedy
259;259;Butch Cassidy and the Sundance Kid (1969);Action|Western
260;260;Mars Attacks! (1996);Action|Comedy|Sci-Fi
261;261;Waiting for Guffman (1996);Comedy
262;262;Donnie Brasco (1997);Crime|Drama
263;263;Conspiracy Theory (1997);Drama|Mystery|Romance|Thriller
264;264;Full Monty, The (1997);Comedy|Drama
265;265;Bulworth (1998);Comedy|Drama|Romance
266;266;Mulan (1998);Adventure|Animation|Children|Comedy|Drama|Musical|Romance
267;267;There's Something About Mary (1998);Comedy|Romance
268;268;West Side Story (1961);Drama|Musical|Romance
269;269;Breakfast Club, The (1985);Comedy|Drama
270;270;Seven Samurai (Shichinin no samurai) (1954);Action|Adventure|Drama
271;271;Blue Velvet (1986);Drama|Mystery|Thriller
272;272;Jerk, The (1979);Comedy
273;273;Pretty in Pink (1986);Comedy|Drama|Romance
274;274;Gods Must Be Crazy, The (1980);Adventure|Comedy
275;275;Strangers on a Train (1951);Crime|Drama|Film-Noir|Thriller
276;276;Life Is Beautiful (La Vita è bella) (1997);Comedy|Drama|Romance|War
277;277;Elizabeth (1998);Drama
278;278;Waking Ned Devine (a.k.a. Waking Ned) (1998);Comedy
279;279;Election (1999);Comedy
280;280;Austin Powers: The Spy Who Shagged Me (1999);Action|Adventure|Comedy
281;281;Eyes Wide Shut (1999);Drama|Mystery|Thriller
282;282;Sixth Sense, The (1999);Drama|Horror|Mystery
283;283;Thomas Crown Affair, The (1999);Action|Mystery
284;284;Bowfinger (1999);Comedy
285;285;Airplane! (1980);Comedy
286;286;Magnolia (1999);Drama
287;287;Galaxy Quest (1999);Adventure|Comedy|Sci-Fi
288;288;League of Their Own, A (1992);Comedy|Drama
289;289;Wonder Boys (2000);Comedy|Drama
290;290;Erin Brockovich (2000);Drama
291;291;High Fidelity (2000);Comedy|Drama|Romance
292;292;Almost Famous (2000);Drama
293;293;Best in Show (2000);Comedy
294;294;Billy Elliot (2000);Drama
295;295;Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000);Action|Drama|Romance
296;296;Planes, Trains & Automobiles (1987);Comedy
297;297;Chocolat (2000);Drama|Romance
298;298;O Brother, Where Art Thou? (2000);Adventure|Comedy|Crime
299;299;Traffic (2000);Crime|Drama|Thriller
300;300;Memento (2000);Mystery|Thriller
301;301;Blow (2001);Crime|Drama
302;302;Bridget Jones's Diary (2001);Comedy|Drama|Romance
303;303;Moulin Rouge (2001);Drama|Musical|Romance
304;304;Ghost World (2001);Comedy|Drama
305;305;Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001);Adventure|Children|Fantasy
306;306;Babe (1995);Children|Drama
307;307;Dead Man Walking (1995);Crime|Drama
308;308;Clueless (1995);Comedy|Romance
309;309;Apollo 13 (1995);Adventure|Drama|IMAX
310;310;Batman Forever (1995);Action|Adventure|Comedy|Crime
311;311;Interview with the Vampire: The Vampire Chronicles (1994);Drama|Horror
312;312;Little Women (1994);Drama
313;313;Legends of the Fall (1994);Drama|Romance|War|Western
314;314;Quiz Show (1994);Drama
315;315;Ace Ventura: Pet Detective (1994);Comedy
316;316;Lion King, The (1994);Adventure|Animation|Children|Drama|Musical|IMAX
317;317;True Lies (1994);Action|Adventure|Comedy|Romance|Thriller
318;318;Addams Family Values (1993);Children|Comedy|Fantasy
319;319;In the Line of Fire (1993);Action|Thriller
320;320;Remains of the Day, The (1993);Drama|Romance
321;321;Secret Garden, The (1993);Children|Drama
322;322;Terminator 2: Judgment Day (1991);Action|Sci-Fi
323;323;Snow White and the Seven Dwarfs (1937);Animation|Children|Drama|Fantasy|Musical
324;324;Pretty Woman (1990);Comedy|Romance
325;325;Jumanji (1995);Adventure|Children|Fantasy
326;326;Father of the Bride Part II (1995);Comedy
327;327;Sabrina (1995);Comedy|Romance
328;328;GoldenEye (1995);Action|Adventure|Thriller
329;329;American President, The (1995);Comedy|Drama|Romance
330;330;Casino (1995);Crime|Drama
331;331;Sense and Sensibility (1995);Drama|Romance
332;332;Ace Ventura: When Nature Calls (1995);Comedy
333;333;Copycat (1995);Crime|Drama|Horror|Mystery|Thriller
334;334;Powder (1995);Drama|Sci-Fi
335;335;Leaving Las Vegas (1995);Drama|Romance
336;336;Indian in the Cupboard, The (1995);Adventure|Children|Fantasy
337;337;Mr. Holland's Opus (1995);Drama
338;338;Bio-Dome (1996);Comedy
339;339;Broken Arrow (1996);Action|Adventure|Thriller
340;340;Happy Gilmore (1996);Comedy
341;341;Bridges of Madison County, The (1995);Drama|Romance
342;342;Rumble in the Bronx (Hont faan kui) (1995);Action|Adventure|Comedy|Crime
343;343;Down Periscope (1996);Comedy
344;344;Birdcage, The (1996);Comedy
345;345;Bad Boys (1995);Action|Comedy|Crime|Drama|Thriller
346;346;Casper (1995);Adventure|Children
347;347;Congo (1995);Action|Adventure|Mystery|Sci-Fi
348;348;Crimson Tide (1995);Drama|Thriller|War
349;349;Die Hard: With a Vengeance (1995);Action|Crime|Thriller
350;350;First Knight (1995);Action|Drama|Romance
351;351;Hackers (1995);Action|Adventure|Crime|Thriller
352;352;Mallrats (1995);Comedy|Romance
353;353;Net, The (1995);Action|Crime|Thriller
354;354;Nine Months (1995);Comedy|Romance
355;355;Species (1995);Horror|Sci-Fi
356;356;Under Siege 2: Dark Territory (1995);Action
357;357;Walk in the Clouds, A (1995);Drama|Romance
358;358;Waterworld (1995);Action|Adventure|Sci-Fi
359;359;Don Juan DeMarco (1995);Comedy|Drama|Romance
360;360;Disclosure (1994);Drama|Thriller
361;361;Dolores Claiborne (1995);Drama|Thriller
362;362;French Kiss (1995);Action|Comedy|Romance
363;363;Forget Paris (1995);Comedy|Romance
364;364;I.Q. (1994);Comedy|Romance
365;365;Junior (1994);Comedy|Sci-Fi
366;366;Little Princess, A (1995);Children|Drama
367;367;Mary Shelley's Frankenstein (Frankenstein) (1994);Drama|Horror|Sci-Fi
368;368;Milk Money (1994);Comedy|Romance
369;369;Miracle on 34th Street (1994);Drama
370;370;Nell (1994);Drama
371;371;Natural Born Killers (1994);Action|Crime|Thriller
372;372;Outbreak (1995);Action|Drama|Sci-Fi|Thriller
373;373;Léon: The Professional (a.k.a. The Professional) (Léon) (1994);Action|Crime|Drama|Thriller
374;374;Quick and the Dead, The (1995);Action|Thriller|Western
375;375;Specialist, The (1994);Action|Drama|Thriller
376;376;Santa Clause, The (1994);Comedy|Drama|Fantasy
377;377;Tank Girl (1995);Action|Comedy|Sci-Fi
378;378;Star Trek: Generations (1994);Adventure|Drama|Sci-Fi
379;379;What's Eating Gilbert Grape (1993);Drama
380;380;While You Were Sleeping (1995);Comedy|Romance
381;381;Client, The (1994);Drama|Mystery|Thriller
382;382;Crow, The (1994);Action|Crime|Fantasy|Thriller
383;383;Flintstones, The (1994);Children|Comedy|Fantasy
384;384;Naked Gun 33 1/3: The Final Insult (1994);Action|Comedy
385;385;Paper, The (1994);Comedy|Drama
386;386;Richie Rich (1994);Children|Comedy
387;387;Speed (1994);Action|Romance|Thriller
388;388;Wyatt Earp (1994);Western
389;389;City Slickers II: The Legend of Curly's Gold (1994);Adventure|Comedy|Western
390;390;Cliffhanger (1993);Action|Adventure|Thriller
391;391;Coneheads (1993);Comedy|Sci-Fi
392;392;Dave (1993);Comedy|Romance
393;393;Firm, The (1993);Drama|Thriller
394;394;Free Willy (1993);Adventure|Children|Drama
395;395;Hot Shots! Part Deux (1993);Action|Comedy|War
396;396;Englishman Who Went Up a Hill But Came Down a Mountain, The (1995);Comedy|Romance
397;397;Last Action Hero (1993);Action|Adventure|Comedy|Fantasy
398;398;Executive Decision (1996);Action|Adventure|Thriller
399;399;Much Ado About Nothing (1993);Comedy|Romance
400;400;Philadelphia (1993);Drama
401;401;Robin Hood: Men in Tights (1993);Comedy
402;402;Rudy (1993);Drama
403;403;Super Mario Bros. (1993);Action|Adventure|Children|Comedy|Fantasy|Sci-Fi
404;404;Ghost (1990);Comedy|Drama|Fantasy|Romance|Thriller
405;405;Aristocats, The (1970);Animation|Children
406;406;Primal Fear (1996);Crime|Drama|Mystery|Thriller
407;407;Sgt. Bilko (1996);Comedy
408;408;Multiplicity (1996);Comedy
409;409;Striptease (1996);Comedy|Crime
410;410;Hunchback of Notre Dame, The (1996);Animation|Children|Drama|Musical|Romance
411;411;Frighteners, The (1996);Comedy|Horror|Thriller
412;412;Phenomenon (1996);Drama|Romance
413;413;First Wives Club, The (1996);Comedy
414;414;Matilda (1996);Children|Comedy|Fantasy
415;415;Emma (1996);Comedy|Drama|Romance
416;416;Tin Cup (1996);Comedy|Drama|Romance
417;417;Island of Dr. Moreau, The (1996);Sci-Fi|Thriller
418;418;Sleepers (1996);Thriller
419;419;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964);Comedy|War
420;420;2001: A Space Odyssey (1968);Adventure|Drama|Sci-Fi
421;421;Top Gun (1986);Action|Romance
422;422;Dead Poets Society (1989);Drama
423;423;Contact (1997);Drama|Sci-Fi
424;424;Hunt for Red October, The (1990);Action|Adventure|Thriller
425;425;Truman Show, The (1998);Comedy|Drama|Sci-Fi
